Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
463,Antonio Caracciolo,it ITA,DF,Pisa,it Serie A,35.0,1990,35,34,3073,34.1,2,0,2,2,0,0,10,0,0.06,25,6,24.0,0.73,0.18,0.08,0.33,0,0,3,44,57,11,10,0,0,41,1,,,,,,,,,,,,,,
464,Filippo Carbone,it ITA,MF,Genoa,it Serie A,18.0,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,3,0,1,0,0,0,0,0,,,,,,,,,,,,,,
465,Franco Carboni,it ITA,MF,Parma,it Serie A,22.0,2003,7,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,3,1,2,0,0,0,0,3,0,,,,,,,,,,,,,,
466,Valentin Carboni,ar ARG,MF,Genoa,it Serie A,20.0,2005,12,3,359,4.0,0,0,0,0,0,0,2,0,0.00,6,2,33.3,1.50,0.50,0.00,0.00,0,0,7,8,2,5,2,0,0,11,0,,,,,,,,,,,,,,
467,Dani Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,28.0,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,0,0,0,0,0,0,7,1.75,24,19,75.0,2,1,1,1,25.0,2,1,1,0
468,Alessandro Cardinali,it ITA,FW,Parma,it Serie A,19.0,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
469,Rio Cardines,tt TRI,MF,Crystal Palace,eng Premier League,19.0,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,1,0,0.0,1.00,0.00,0.00,,0,0,3,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,
470,Sergi Cardona,es ESP,DF,Villarreal,es La Liga,26.0,1999,31,20,1970,21.9,1,4,5,1,0,0,4,0,0.23,18,5,27.8,0.82,0.23,0.06,0.20,0,0,75,31,37,23,4,0,0,28,0,,,,,,,,,,,,,,
471,Fábio Cardoso,pt POR,DF,Sevilla,es La Liga,31.0,1994,4,4,295,3.3,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,3,4,1,0,0,0,9,0,,,,,,,,,,,,,,
472,Johnny Cardoso,us USA,MF,Atlético Madrid,es La Liga,23.0,2001,15,12,887,9.9,0,0,0,0,0,0,5,0,0.00,2,0,0.0,0.20,0.00,0.00,,0,0,3,21,16,14,5,0,0,23,0,,,,,,,,,,,,,,
473,Maycon Cardozo,br BRA,MF,Bayern Munich,de Bundesliga,16.0,2008,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
474,Igor Carioca,br BRA,DF,Lorient,fr Ligue 1,28.0,1996,17,13,1213,13.5,1,0,1,1,0,0,1,0,0.07,8,1,12.5,0.59,0.07,0.13,1.00,0,0,21,19,13,18,1,0,0,9,0,,,,,,,,,,,,,,
475,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33.0,1992,3,2,182,2.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,2,0.99,13,11,84.6,1,1,0,1,50.0,0,0,0,0
476,Diego Carlos,br BRA,DF,Como,it Serie A,32.0,1993,27,21,1949,21.7,1,0,1,1,0,0,8,0,0.05,8,2,25.0,0.37,0.09,0.13,0.50,0,0,2,18,22,7,8,0,0,39,0,,,,,,,,,,,,,,
477,Kevin Carlos,es ESP,FW,Nice,fr Ligue 1,24.0,2001,23,9,880,9.8,0,0,0,0,0,0,3,0,0.00,22,7,31.8,2.25,0.72,0.00,0.00,0,0,3,1,1,16,3,0,0,29,0,,,,,,,,,,,,,,
478,David Carmo,ao ANG,DF,Oviedo,es La Liga,26.0,1999,22,20,1786,19.8,1,0,1,1,0,0,8,1,0.05,10,3,30.0,0.50,0.15,0.10,0.33,0,0,2,18,21,4,8,1,1,20,0,,,,,,,,,,,,,,
479,Carmona,es ESP,"DF,MF",Sevilla,es La Liga,23.0,2002,35,29,2565,28.5,1,3,4,1,0,0,13,0,0.14,20,3,15.0,0.70,0.11,0.05,0.33,0,0,48,40,45,44,13,0,0,49,0,,,,,,,,,,,,,,
480,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,25.0,2000,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,0,0,6,0,0,0,1,0,35,0.95,144,112,77.1,15,13,9,13,35.1,4,2,2,0
481,Sergio Carreira,es ESP,MF,Celta Vigo,es La Liga,24.0,2000,34,29,2694,29.9,2,1,3,2,0,0,2,0,0.10,16,7,43.8,0.53,0.23,0.13,0.29,0,0,32,18,27,36,2,0,0,20,0,,,,,,,,,,,,,,
482,Gorka Carrera,es ESP,FW,Real Sociedad,es La Liga,20.0,2005,3,0,62,0.7,0,0,0,0,0,0,1,0,0.00,1,1,100.0,1.45,1.45,0.00,0.00,0,0,0,0,1,2,1,0,0,2,0,,,,,,,,,,,,,,
483,Álvaro Carreras,es ESP,DF,Real Madrid,es La Liga,22.0,2003,28,26,2332,25.9,2,3,5,2,0,0,5,1,0.19,9,3,33.3,0.35,0.12,0.22,0.67,0,0,30,18,38,33,5,1,0,22,0,,,,,,,,,,,,,,
484,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,33.0,1992,17,10,977,10.9,0,1,1,0,0,0,0,0,0.09,5,1,20.0,0.46,0.09,0.00,0.00,0,0,11,12,6,9,0,0,0,7,0,,,,,,,,,,,,,,
485,Fabio Carvalho,pt POR,MF,Brentford,eng Premier League,22.0,2002,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,2,1,50.0,1.76,0.88,0.50,1.00,0,0,5,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,
486,Cesare Casadei,it ITA,MF,Torino,it Serie A,22.0,2003,33,19,1997,22.2,6,0,6,6,0,0,5,0,0.27,35,17,48.6,1.58,0.77,0.17,0.35,0,0,4,16,9,16,5,0,0,52,0,,,,,,,,,,,,,,
487,Marc Casado,es ESP,MF,Barcelona,es La Liga,21.0,2003,24,10,989,11.0,0,1,1,0,0,0,1,0,0.09,11,0,0.0,1.00,0.00,0.00,,0,0,1,9,7,20,1,0,0,25,0,,,,,,,,,,,,,,
488,Nicolò Casale,it ITA,DF,Bologna,it Serie A,27.0,1998,12,8,678,7.5,0,0,0,0,0,0,0,0,0.00,5,0,0.0,0.66,0.00,0.00,,0,0,2,2,7,5,0,0,0,15,0,,,,,,,,,,,,,,
489,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,33.0,1992,34,33,2571,28.6,9,2,11,9,0,0,11,1,0.39,52,18,34.6,1.82,0.63,0.17,0.50,0,0,19,45,30,36,11,1,1,46,0,,,,,,,,,,,,,,
490,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,27.0,1997,35,34,3014,33.5,3,3,6,3,0,0,9,0,0.18,30,10,33.3,0.90,0.30,0.10,0.30,0,0,131,32,24,30,9,0,0,42,0,,,,,,,,,,,,,,
491,Josué Casimir,ht HAI,"MF,FW",Auxerre,fr Ligue 1,23.0,2001,31,16,1522,16.9,1,0,1,1,0,1,6,1,0.06,22,12,54.5,1.30,0.71,0.05,0.08,0,1,54,17,11,32,6,1,1,34,0,,,,,,,,,,,,,,
492,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,25.0,2000,31,29,2585,28.7,2,3,5,2,0,1,6,0,0.17,26,6,23.1,0.91,0.21,0.08,0.33,0,1,99,43,37,43,6,0,0,40,0,,,,,,,,,,,,,,
493,Timothy Castagne,be BEL,"DF,MF",Fulham,eng Premier League,29.0,1995,30,20,1845,20.5,0,0,0,0,0,0,4,0,0.00,14,6,42.9,0.68,0.29,0.00,0.00,0,0,48,24,28,11,4,0,0,18,0,,,,,,,,,,,,,,
494,Lluc Castell,es ESP,FW,Espanyol,es La Liga,18.0,2006,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,
495,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,26.0,1998,11,8,692,7.7,2,3,5,2,0,0,2,0,0.65,20,8,40.0,2.60,1.04,0.10,0.25,0,0,6,3,3,18,2,0,0,9,0,,,,,,,,,,,,,,
496,Valentín Castellanos,ar ARG,FW,West Ham United,eng Premier League,26.0,1998,18,17,1384,15.4,6,0,6,6,0,0,6,0,0.39,50,22,44.0,3.25,1.43,0.12,0.27,0,0,9,9,6,16,6,0,0,32,0,,,,,,,,,,,,,,
497,Castrin,es ESP,DF,Sevilla,es La Liga,22.0,2003,19,13,1277,14.2,1,0,1,1,0,0,4,0,0.07,11,3,27.3,0.78,0.21,0.09,0.33,0,0,1,15,22,13,4,0,0,13,0,,,,,,,,,,,,,,
498,Jonny Castro,es ESP,DF,Alavés,es La Liga,31.0,1994,34,34,2994,33.3,0,0,0,0,0,0,7,0,0.00,9,3,33.3,0.27,0.09,0.00,0.00,0,0,23,41,40,30,7,0,0,37,0,,,,,,,,,,,,,,
499,Santiago Castro,ar ARG,FW,Bologna,it Serie A,20.0,2004,35,26,2359,26.2,7,2,9,7,0,0,3,0,0.34,63,20,31.7,2.40,0.76,0.11,0.35,0,0,4,8,1,50,3,0,0,35,0,,,,,,,,,,,,,,
500,Alessio Castro-Montes,be BEL,"MF,DF",Köln,de Bundesliga,28.0,1997,14,7,672,7.5,1,3,4,1,0,0,2,0,0.54,8,1,12.5,1.07,0.13,0.13,1.00,0,0,57,17,5,10,2,0,0,13,0,,,,,,,,,,,,,,
501,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,30.0,1994,27,24,1985,22.1,3,3,6,1,2,2,6,0,0.18,26,7,26.9,1.18,0.32,0.04,0.14,2,2,48,22,21,12,6,0,0,22,0,,,,,,,,,,,,,,
502,Catena,es ESP,DF,Osasuna,es La Liga,30.0,1994,35,35,3071,34.1,3,2,5,3,0,0,11,1,0.15,19,4,21.1,0.56,0.12,0.16,0.75,0,0,1,29,32,14,11,1,0,46,0,,,,,,,,,,,,,,
503,Nicolò Cavuoti,it ITA,MF,Cagliari,it Serie A,22.0,2003,4,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,
504,Santi Cazorla,es ESP,MF,Oviedo,es La Liga,40.0,1984,28,6,940,10.4,0,1,1,0,0,0,2,1,0.10,7,1,14.3,0.67,0.10,0.00,0.00,0,0,71,10,4,19,2,1,0,6,0,,,,,,,,,,,,,,
505,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,28.0,1996,16,4,486,5.4,0,0,0,0,0,0,1,0,0.00,3,0,0.0,0.56,0.00,0.00,,0,0,3,10,7,15,1,0,0,6,0,,,,,,,,,,,,,,
506,Federico Ceccherini,it ITA,DF,Cremonese,it Serie A,33.0,1992,9,6,476,5.3,0,1,1,0,0,0,1,1,0.19,5,2,40.0,0.95,0.38,0.00,0.00,0,0,3,2,7,9,1,1,0,10,0,,,,,,,,,,,,,,
507,Abdoulie Ceesay,gm GAM,FW,St Pauli,de Bundesliga,21.0,2004,20,0,336,3.7,3,0,3,3,0,0,4,0,0.80,11,4,36.4,2.95,1.07,0.27,0.75,0,0,2,2,0,6,4,0,0,14,0,,,,,,,,,,,,,,
508,Nidal Celik,ba BIH,DF,Lens,fr Ligue 1,19.0,2006,8,8,616,6.8,0,0,0,0,0,0,2,0,0.00,1,1,100.0,0.15,0.15,0.00,0.00,0,0,1,10,9,1,2,0,0,13,0,,,,,,,,,,,,,,
509,Zeki Çelik,tr TUR,"MF,DF",Roma,it Serie A,28.0,1997,34,32,2723,30.3,1,2,3,1,0,0,2,1,0.10,22,4,18.2,0.73,0.13,0.05,0.25,0,0,75,40,24,18,2,1,0,35,0,,,,,,,,,,,,,,
510,Fabien Centonze,fr FRA,"MF,DF",Nantes,fr Ligue 1,29.0,1996,15,9,736,8.2,3,0,3,3,0,0,4,0,0.37,8,3,37.5,0.98,0.37,0.38,1.00,0,0,30,18,20,8,4,0,0,13,0,,,,,,,,,,,,,,
511,Lucas Cepeda,cl CHI,MF,Elche,es La Liga,22.0,2002,10,4,402,4.5,1,0,1,1,0,0,1,0,0.22,13,5,38.5,2.91,1.12,0.08,0.20,0,0,17,6,1,10,1,0,0,7,0,,,,,,,,,,,,,,
512,Václav Černý,cz CZE,"FW,MF",Wolfsburg,de Bundesliga,27.0,1997,2,0,47,0.5,0,0,0,0,0,0,0,0,0.00,1,0,0.0,1.91,0.00,0.00,,0,0,2,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
513,Jorge Cestero,es ESP,MF,Real Madrid,es La Liga,19.0,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
514,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,27.0,1998,27,26,2294,25.5,0,0,0,0,0,0,3,0,0.00,18,7,38.9,0.71,0.27,0.00,0.00,0,0,1,20,40,40,3,0,0,35,1,,,,,,,,,,,,,,
515,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,20.0,2005,11,8,655,7.3,0,0,0,0,0,0,0,0,0.00,2,0,0.0,0.27,0.00,0.00,,0,0,0,6,6,0,0,0,0,4,0,,,,,,,,,,,,,,
516,Fares Chaïbi,dz ALG,MF,Eintracht Frankfurt,de Bundesliga,22.0,2002,28,21,1792,19.9,2,9,11,2,0,0,2,0,0.55,35,9,25.7,1.76,0.45,0.06,0.22,0,0,91,21,13,21,2,0,0,14,0,,,,,,,,,,,,,,
517,Ilyas Chaira,ma MAR,"MF,FW",Oviedo,es La Liga,24.0,2001,36,30,2447,27.2,6,2,8,6,0,0,2,1,0.29,81,35,43.2,2.98,1.29,0.07,0.17,0,0,74,34,4,41,2,1,0,53,0,,,,,,,,,,,,,,
518,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,26.0,1999,34,31,2783,30.9,3,0,3,3,0,0,3,1,0.10,16,5,31.3,0.52,0.16,0.19,0.60,0,0,5,22,37,18,3,1,0,20,0,,,,,,,,,,,,,,
519,Fallou Cham,gm GAM,MF,Hellas Verona,it Serie A,19.0,2006,6,3,228,2.5,0,0,0,0,0,0,0,0,0.00,5,2,40.0,1.97,0.79,0.00,0.00,0,0,10,9,4,5,0,0,0,7,0,,,,,,,,,,,,,,
520,Timothy Chandler,us USA,"DF,MF",Eintracht Frankfurt,de Bundesliga,35.0,1990,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
521,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,30.0,1994,29,29,2546,28.3,1,3,4,1,0,0,6,0,0.14,12,6,50.0,0.42,0.21,0.08,0.17,0,0,7,18,34,20,6,0,0,28,0,,,,,,,,,,,,,,
522,Pep Chavarría,es ESP,DF,Rayo Vallecano,es La Liga,27.0,1998,33,29,2682,29.8,1,2,3,1,0,0,6,1,0.10,18,3,16.7,0.60,0.10,0.06,0.33,0,0,95,31,32,35,6,1,1,33,0,,,,,,,,,,,,,,
523,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,24.0,2001,4,2,240,2.7,0,0,0,0,0,0,1,0,0.00,1,0,0.0,0.37,0.00,0.00,,0,0,2,5,3,3,1,0,0,5,0,,,,,,,,,,,,,,
524,Arthur Chaves,br BRA,DF,Augsburg,de Bundesliga,24.0,2001,11,9,829,9.2,2,0,2,2,0,0,1,0,0.22,4,2,50.0,0.43,0.22,0.50,1.00,0,0,1,13,8,8,1,0,0,8,1,,,,,,,,,,,,,,
525,Felipe Chávez,pe PER,MF,Bayern Munich,de Bundesliga,18.0,2007,2,0,14,0.2,0,0,0,0,0,0,0,0,0.00,1,0,0.0,6.43,0.00,0.00,,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
526,Felipe Chávez,pe PER,MF,Köln,de Bundesliga,18.0,2007,7,0,102,1.1,0,0,0,0,0,0,0,0,0.00,5,1,20.0,4.41,0.88,0.00,0.00,0,0,1,2,2,1,0,0,0,1,0,,,,,,,,,,,,,,
527,Walid Cheddira,ma MAR,FW,Sassuolo,it Serie A,27.0,1998,16,1,221,2.5,1,0,1,1,0,0,1,0,0.41,8,2,25.0,3.26,0.81,0.13,0.50,0,0,4,0,0,9,1,0,0,7,0,,,,,,,,,,,,,,
528,Walid Cheddira,ma MAR,FW,Lecce,it Serie A,27.0,1998,17,11,1000,11.1,3,1,4,3,0,0,2,0,0.36,25,10,40.0,2.25,0.90,0.12,0.30,0,0,4,3,1,25,2,0,0,20,0,,,,,,,,,,,,,,
529,Chema,es ESP,MF,Stuttgart,de Bundesliga,20.0,2005,25,14,1310,14.6,3,0,3,3,0,0,5,0,0.21,15,6,40.0,1.03,0.41,0.20,0.50,0,0,0,16,31,8,5,0,0,20,0,,,,,,,,,,,,,,
530,Samir Chergui,dz ALG,DF,Paris FC,fr Ligue 1,26.0,1999,15,13,1154,12.8,1,0,1,1,0,0,1,0,0.08,13,4,30.8,1.01,0.31,0.08,0.25,0,0,6,12,13,4,1,0,0,14,0,,,,,,,,,,,,,,
531,Sidiki Cherif,fr FRA,"FW,MF",Angers,fr Ligue 1,18.0,2006,19,14,1157,12.9,4,0,4,4,0,0,3,0,0.31,28,12,42.9,2.18,0.93,0.14,0.33,0,0,6,3,6,16,3,0,0,15,0,,,,,,,,,,,,,,
532,Rayan Cherki,fr FRA,MF,Manchester City,eng Premier League,21.0,2003,33,19,1786,19.8,4,12,16,4,0,0,1,0,0.81,55,13,23.6,2.77,0.66,0.07,0.31,0,0,80,16,7,34,1,0,0,18,0,,,,,,,,,,,,,,
533,Lucas Chevalier,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,23.0,2001,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,13,0.76,43,32,72.1,12,3,2,9,52.9,3,1,1,1
534,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,20.0,2005,15,8,674,7.5,0,0,0,0,0,0,1,0,0.00,4,1,25.0,0.53,0.13,0.00,0.00,0,0,0,9,13,1,1,0,0,8,0,,,,,,,,,,,,,,
535,Federico Chiesa,it ITA,MF,Liverpool,eng Premier League,27.0,1997,26,1,339,3.8,2,1,3,2,0,0,3,0,0.80,17,5,29.4,4.51,1.33,0.12,0.40,0,0,17,5,4,7,3,0,0,11,0,,,,,,,,,,,,,,
536,Ben Chilwell,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,28.0,1996,20,19,1598,17.8,0,2,2,0,0,0,4,0,0.11,5,3,60.0,0.28,0.17,0.00,0.00,0,0,30,17,22,22,4,0,0,14,0,,,,,,,,,,,,,,
537,Tawanda Chirewa,zw ZIM,MF,Wolves,eng Premier League,21.0,2003,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,3,0,,,,,,,,,,,,,,
538,Joris Chotard,fr FRA,MF,Brest,fr Ligue 1,23.0,2001,33,31,2773,30.8,2,1,3,2,0,0,2,0,0.10,25,8,32.0,0.81,0.26,0.08,0.25,0,0,51,34,48,12,2,0,0,28,0,,,,,,,,,,,,,,
539,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,29.0,1996,13,3,409,4.5,0,0,0,0,0,0,2,0,0.00,4,2,50.0,0.88,0.44,0.00,0.00,0,0,0,3,2,3,2,0,0,6,0,,,,,,,,,,,,,,
540,Oliver Christensen,dk DEN,GK,Fiorentina,it Serie A,26.0,1999,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,1,1.05,7,6,85.7,0,1,0,0,0.0,0,0,0,0
541,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,30.0,1995,26,9,993,11.0,2,0,2,2,0,0,3,1,0.18,25,8,32.0,2.27,0.73,0.08,0.25,0,0,17,20,11,22,3,1,0,16,0,,,,,,,,,,,,,,
542,Carney Chukwuemeka,at AUT,"MF,FW",Dortmund,de Bundesliga,21.0,2003,28,8,919,10.2,2,0,2,2,0,0,2,0,0.20,18,2,11.1,1.76,0.20,0.11,1.00,0,0,1,15,6,15,2,0,0,11,0,,,,,,,,,,,,,,
543,Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,26.0,1999,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,3,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,
544,Samuel Chukwueze,ng NGA,MF,Fulham,eng Premier League,26.0,1999,23,10,1079,12.0,3,4,7,3,0,0,0,0,0.58,25,7,28.0,2.09,0.58,0.12,0.43,0,0,43,4,6,12,0,0,0,5,0,,,,,,,,,,,,,,
545,Víctor Chust,es ESP,DF,Elche,es La Liga,25.0,2000,31,22,2166,24.1,1,0,1,1,0,0,9,1,0.04,9,3,33.3,0.37,0.12,0.11,0.33,0,0,36,35,20,10,9,1,1,38,0,,,,,,,,,,,,,,
546,Alessandro Circati,au AUS,DF,Parma,it Serie A,21.0,2003,31,31,2664,29.6,1,0,1,1,0,0,6,0,0.03,8,1,12.5,0.27,0.03,0.13,1.00,0,0,5,25,27,18,6,0,0,30,0,,,,,,,,,,,,,,
547,Dennis Cirkin,lv LVA,DF,Sunderland,eng Premier League,23.0,2002,8,3,323,3.6,0,0,0,0,0,0,2,0,0.00,1,0,0.0,0.28,0.00,0.00,,0,0,3,5,5,2,2,0,0,4,0,,,,,,,,,,,,,,
548,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,31.0,1994,29,20,1998,22.2,2,1,3,2,0,0,9,2,0.14,20,8,40.0,0.90,0.36,0.10,0.25,0,0,1,35,35,13,9,2,0,30,0,,,,,,,,,,,,,,
549,Amadou Cissé,gn GUI,DF,Strasbourg,fr Ligue 1,19.0,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,2,0,0,0,0,0,3,0,,,,,,,,,,,,,,
550,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,21.0,2004,24,12,981,10.9,0,0,0,0,0,0,3,0,0.00,24,6,25.0,2.20,0.55,0.00,0.00,0,0,27,22,5,10,3,0,0,18,0,,,,,,,,,,,,,,
551,Mamoudou Cissokho,fr FRA,FW,Auxerre,fr Ligue 1,17.0,2007,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
552,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,27.0,1998,29,25,2097,23.3,5,4,9,4,1,2,3,0,0.34,71,26,36.6,3.05,1.12,0.06,0.15,1,2,65,26,8,42,3,0,0,23,0,,,,,,,,,,,,,,
553,Jonathan Clauss,fr FRA,"MF,DF",Nice,fr Ligue 1,32.0,1992,30,28,2530,28.1,1,6,7,1,0,0,0,0,0.25,23,6,26.1,0.82,0.21,0.04,0.17,0,0,223,38,47,17,0,0,0,22,0,,,,,,,,,,,,,,
554,Nathaniel Clyne,eng ENG,"MF,DF",Crystal Palace,eng Premier League,34.0,1991,10,7,594,6.6,0,1,1,0,0,0,1,0,0.15,3,0,0.0,0.45,0.00,0.00,,0,0,15,9,7,2,1,0,0,4,0,,,,,,,,,,,,,,
555,Matteo Cocchi,it ITA,DF,Inter,it Serie A,18.0,2007,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
556,Saúl Coco,gq EQG,DF,Torino,it Serie A,26.0,1999,35,35,3088,34.3,1,1,2,1,0,0,3,0,0.06,15,4,26.7,0.44,0.12,0.07,0.25,0,0,5,34,41,34,3,0,0,46,0,,,,,,,,,,,,,,
557,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,36.0,1988,5,1,21,0.2,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,3,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
558,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,33.0,1991,22,18,1692,18.8,0,0,0,0,0,0,1,0,0.00,7,2,28.6,0.37,0.11,0.00,0.00,0,0,12,30,24,7,1,0,0,10,0,,,,,,,,,,,,,,
559,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,24.0,2001,35,32,2975,33.1,1,2,3,1,0,0,7,0,0.09,20,6,30.0,0.61,0.18,0.05,0.17,0,0,1,13,36,17,7,0,0,20,1,,,,,,,,,,,,,,
560,Nnamdi Collins,de GER,DF,Eintracht Frankfurt,de Bundesliga,21.0,2004,23,16,1500,16.7,1,2,3,1,0,0,4,0,0.18,4,1,25.0,0.24,0.06,0.25,1.00,0,0,4,38,24,19,4,0,0,22,0,,,,,,,,,,,,,,
561,Michele Collocolo,it ITA,MF,Cremonese,it Serie A,25.0,1999,8,5,362,4.0,0,0,0,0,0,0,1,0,0.00,2,1,50.0,0.50,0.25,0.00,0.00,0,0,5,3,1,2,1,0,0,2,0,,,,,,,,,,,,,,
562,Santiago Colombatto,ar ARG,MF,Oviedo,es La Liga,28.0,1997,32,23,2064,22.9,0,1,1,0,0,0,6,0,0.04,15,2,13.3,0.65,0.09,0.00,0.00,0,0,67,22,14,41,6,0,0,44,0,,,,,,,,,,,,,,
563,Lorenzo Colombo,it ITA,FW,Genoa,it Serie A,23.0,2002,38,30,2326,25.8,7,1,8,6,1,2,2,0,0.27,66,27,40.9,2.55,1.04,0.09,0.22,1,2,16,12,1,55,2,0,0,41,0,,,,,,,,,,,,,,
564,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,22.0,2003,3,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,2,5,2,0,0,0,1,0,,,,,,,,,,,,,,
565,Eray Cömert,ch SUI,DF,Valencia,es La Liga,27.0,1998,17,15,1337,14.9,2,1,3,2,0,0,3,1,0.20,11,3,27.3,0.74,0.20,0.18,0.67,0,0,1,14,21,13,3,1,0,9,0,,,,,,,,,,,,,,
566,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,28.0,1996,34,28,2407,26.7,3,6,9,3,0,0,5,1,0.34,27,7,25.9,1.01,0.26,0.11,0.43,0,0,12,25,31,28,5,1,0,43,0,,,,,,,,,,,,,,
567,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,20.0,2005,27,18,1696,18.8,1,0,1,1,0,0,2,0,0.05,10,2,20.0,0.53,0.11,0.10,0.50,0,0,1,16,24,4,2,0,0,24,1,,,,,,,,,,,,,,
